Stat,p
Start,2022-06-01
End,2022-06-08
Risk-free rate,0.00%
,,,,,
Total Return,0.37%
Daily Sharpe,-
Daily Sortino,-
CAGR,21.33%
Max Drawdown,0.00%
Calmar Ratio,inf
,,,,,
MTD,0.37%
3m,-
6m,-
YTD,0.37%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),21.33%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,-
Monthly Sortino,-
Monthly Mean (ann.),-
Monthly Vol (ann.),-
Monthly Skew,-
Monthly Kurt,-
Best Month,-
Worst Month,-
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-
Avg. Drawdown Days,-
Avg. Up Month,-
Avg. Down Month,-
Win Year %,-
Win 12m %,-
