Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,20.03%
Daily Sharpe,-
Daily Sortino,-
CAGR,6.30%
Max Drawdown,-26.94%
Calmar Ratio,0.23
,,,,,
MTD,-0.14%
3m,-5.62%
6m,-15.25%
YTD,-15.49%
1Y,-11.15%
3Y (ann.),6.30%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),6.30%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.47
Monthly Sortino,0.74
Monthly Mean (ann.),6.76%
Monthly Vol (ann.),14.36%
Monthly Skew,-0.65
Monthly Kurt,1.46
Best Month,9.30%
Worst Month,-10.02%
,,,,,
Yearly Sharpe,0.18
Yearly Sortino,0.33
Yearly Mean,2.93%
Yearly Vol,15.95%
Yearly Skew,-1.73
Yearly Kurt,-
Best Year,12.15%
Worst Year,-15.49%
,,,,,
Avg. Drawdown,-4.59%
Avg. Drawdown Days,49.82
Avg. Up Month,2.90%
Avg. Down Month,-3.11%
Win Year %,66.67%
Win 12m %,76.92%
