Stat,lu0340554673,lu0474966677,lu0386875149
Start,2021-02-01,2021-02-01,2021-02-01
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-23.14%,-4.02%,-7.03%
Daily Sharpe,-0.80,-0.12,-0.23
Daily Sortino,-1.25,-0.21,-0.36
CAGR,-17.59%,-2.97%,-5.22%
Max Drawdown,-31.93%,-15.38%,-21.85%
Calmar Ratio,-0.55,-0.19,-0.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-5.48%
3m,-8.26%,-2.44%,-7.60%
6m,-23.47%,-12.11%,-19.18%
YTD,-23.91%,-11.36%,-20.61%
1Y,-26.09%,-6.09%,-12.81%
3Y (ann.),-,-,-
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),-17.59%,-2.97%,-5.22%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.80,-0.12,-0.23
Daily Sortino,-1.25,-0.21,-0.36
Daily Mean (ann.),-18.51%,-2.00%,-4.21%
Daily Vol (ann.),23.14%,16.16%,18.25%
Daily Skew,-0.09,-0.04,-0.21
Daily Kurt,2.24,0.45,1.88
Best Day,5.55%,3.28%,3.89%
Worst Day,-6.40%,-2.79%,-4.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-1.63,-0.27,-0.35
Monthly Sortino,-2.33,-0.46,-0.49
Monthly Mean (ann.),-20.60%,-2.79%,-4.83%
Monthly Vol (ann.),12.68%,10.36%,13.98%
Monthly Skew,0.44,0.08,-0.98
Monthly Kurt,0.52,-1.31,0.73
Best Month,6.66%,4.46%,4.19%
Worst Month,-8.16%,-4.09%,-10.28%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-
Yearly Sortino,-,-,-
Yearly Mean,-23.91%,-11.36%,-20.61%
Yearly Vol,-,-,-
Yearly Skew,-,-,-
Yearly Kurt,-,-,-
Best Year,-23.91%,-11.36%,-20.61%
Worst Year,-23.91%,-11.36%,-20.61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-10.83%,-6.02%,-3.35%
Avg. Drawdown Days,118.75,93.60,29.00
Avg. Up Month,2.04%,2.04%,2.52%
Avg. Down Month,-3.97%,-3.16%,-4.16%
Win Year %,0.00%,0.00%,0.00%
Win 12m %,0.00%,33.33%,16.67%
