Stat,lu0340554673,lu0474966677,lu0386875149
Start,2022-06-01,2022-06-01,2022-06-01
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-5.38%,-3.53%,-5.89%
Daily Sharpe,-5.32,-13.67,-8.22
Daily Sortino,-7.17,-14.53,-10.31
CAGR,-81.40%,-66.54%,-84.25%
Max Drawdown,-7.51%,-3.53%,-6.59%
Calmar Ratio,-10.83,-18.83,-12.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-5.38%,-3.53%,-5.89%
3m,-,-,-
6m,-,-,-
YTD,-5.38%,-3.53%,-5.89%
1Y,-,-,-
3Y (ann.),-,-,-
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),-81.40%,-66.54%,-84.25%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-5.32,-13.67,-8.22
Daily Sortino,-7.17,-14.53,-10.31
Daily Mean (ann.),-192.49%,-128.79%,-214.71%
Daily Vol (ann.),36.21%,9.42%,26.13%
Daily Skew,-0.38,-1.12,-0.36
Daily Kurt,-0.51,2.00,-1.01
Best Day,2.17%,0.13%,1.15%
Worst Day,-4.38%,-1.65%,-3.30%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-,-,-
Monthly Sortino,-,-,-
Monthly Mean (ann.),-,-,-
Monthly Vol (ann.),-,-,-
Monthly Skew,-,-,-
Monthly Kurt,-,-,-
Best Month,-,-,-
Worst Month,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-
Yearly Sortino,-,-,-
Yearly Mean,-,-,-
Yearly Vol,-,-,-
Yearly Skew,-,-,-
Yearly Kurt,-,-,-
Best Year,-,-,-
Worst Year,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-2.93%,-3.53%,-2.60%
Avg. Drawdown Days,2.00,11.00,2.00
Avg. Up Month,-,-,-
Avg. Down Month,-,-,-
Win Year %,-,-,-
Win 12m %,-,-,-
