Stat,lu0340554673,lu0474966677,lu0386875149,lu0625737753
Start,2019-06-14,2019-06-14,2019-06-14,2019-06-14
End,2022-06-10,2022-06-10,2022-06-10,2022-06-10
Risk-free rate,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,14.06%,16.45%,27.03%,7.70%
Daily Sharpe,-,-,-,-
Daily Sortino,-,-,-,-
CAGR,4.50%,5.23%,8.33%,2.51%
Max Drawdown,-28.81%,-25.42%,-30.16%,-41.94%
Calmar Ratio,0.16,0.21,0.28,0.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.54%,-1.11%,-1.95%,11.60%
3m,-9.28%,-4.41%,-6.03%,1.51%
6m,-20.44%,-10.42%,-16.60%,-9.92%
YTD,-20.42%,-9.87%,-17.90%,-5.95%
1Y,-21.43%,-4.63%,-8.07%,-22.21%
3Y (ann.),4.50%,5.23%,8.33%,2.51%
5Y (ann.),-,-,-,-
10Y (ann.),-,-,-,-
Since Incep. (ann.),4.50%,5.23%,8.33%,2.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-,-,-,-
Daily Sortino,-,-,-,-
Daily Mean (ann.),-,-,-,-
Daily Vol (ann.),-,-,-,-
Daily Skew,-,-,-,-
Daily Kurt,-,-,-,-
Best Day,-,-,-,-
Worst Day,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.32,0.40,0.53,0.15
Monthly Sortino,0.53,0.72,0.78,0.28
Monthly Mean (ann.),5.53%,6.21%,9.18%,2.94%
Monthly Vol (ann.),17.50%,15.54%,17.30%,19.58%
Monthly Skew,-0.25,0.10,-1.05,0.07
Monthly Kurt,0.29,0.46,2.68,-0.17
Best Month,12.19%,11.95%,10.48%,11.60%
Worst Month,-11.05%,-9.37%,-13.64%,-13.29%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.11,0.12,0.27,-0.13
Yearly Sortino,0.19,0.23,0.53,-0.27
Yearly Mean,2.20%,1.33%,5.52%,-1.88%
Yearly Vol,20.72%,10.78%,20.47%,14.24%
Yearly Skew,-0.94,-0.37,-1.59,1.18
Yearly Kurt,-,-,-,-
Best Year,20.25%,11.64%,19.97%,13.95%
Worst Year,-20.42%,-9.87%,-17.90%,-13.64%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-5.72%,-4.79%,-3.91%,-8.60%
Avg. Drawdown Days,51.47,65.50,36.27,86.55
Avg. Up Month,4.13%,3.38%,3.09%,5.08%
Avg. Down Month,-3.64%,-3.49%,-4.53%,-4.08%
Win Year %,66.67%,66.67%,66.67%,33.33%
Win 12m %,76.92%,69.23%,80.77%,53.85%
