Stat,lu0340554673,lu0474966677,lu0386875149,lu0625737753,lu0303494743
Start,2019-06-14,2019-06-14,2019-06-14,2019-06-14,2019-06-14
End,2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,14.06%,16.45%,27.03%,7.70%,-7.91%
Daily Sharpe,-,-,-,-,-
Daily Sortino,-,-,-,-,-
CAGR,4.50%,5.23%,8.33%,2.51%,-2.72%
Max Drawdown,-28.81%,-25.42%,-30.16%,-41.94%,-15.23%
Calmar Ratio,0.16,0.21,0.28,0.06,-0.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.54%,-1.11%,-1.95%,11.60%,-2.98%
3m,-9.28%,-4.41%,-6.03%,1.51%,-10.16%
6m,-20.44%,-10.42%,-16.60%,-9.92%,-12.55%
YTD,-20.42%,-9.87%,-17.90%,-5.95%,-11.32%
1Y,-21.43%,-4.63%,-8.07%,-22.21%,-8.64%
3Y (ann.),4.50%,5.23%,8.33%,2.51%,-2.72%
5Y (ann.),-,-,-,-,-
10Y (ann.),-,-,-,-,-
Since Incep. (ann.),4.50%,5.23%,8.33%,2.51%,-2.72%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-,-,-,-,-
Daily Sortino,-,-,-,-,-
Daily Mean (ann.),-,-,-,-,-
Daily Vol (ann.),-,-,-,-,-
Daily Skew,-,-,-,-,-
Daily Kurt,-,-,-,-,-
Best Day,-,-,-,-,-
Worst Day,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.32,0.40,0.53,0.15,-0.41
Monthly Sortino,0.53,0.72,0.78,0.28,-0.78
Monthly Mean (ann.),5.52%,6.20%,9.18%,2.89%,-2.59%
Monthly Vol (ann.),17.49%,15.51%,17.29%,19.33%,6.37%
Monthly Skew,-0.26,0.10,-1.05,0.03,0.62
Monthly Kurt,0.30,0.49,2.69,-0.17,0.04
Best Month,12.19%,11.95%,10.48%,11.60%,4.57%
Worst Month,-11.05%,-9.37%,-13.64%,-13.29%,-3.46%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.11,0.12,0.27,-0.12,-0.51
Yearly Sortino,0.19,0.23,0.53,-0.25,-0.55
Yearly Mean,2.21%,1.32%,5.53%,-1.80%,-3.50%
Yearly Vol,20.79%,10.57%,20.50%,15.10%,6.88%
Yearly Skew,-0.90,-0.57,-1.57,1.14,-1.49
Yearly Kurt,-,-,-,-,-
Best Year,20.47%,11.14%,20.21%,14.94%,1.62%
Worst Year,-20.42%,-9.87%,-17.90%,-14.38%,-11.32%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-5.71%,-4.79%,-4.09%,-8.53%,-4.84%
Avg. Drawdown Days,51.47,65.50,37.67,86.55,248.50
Avg. Up Month,4.13%,3.36%,3.09%,5.02%,1.66%
Avg. Down Month,-3.64%,-3.46%,-4.53%,-4.04%,-1.41%
Win Year %,66.67%,66.67%,66.67%,33.33%,33.33%
Win 12m %,76.92%,69.23%,80.77%,53.85%,30.77%
