Stat,lu0474966081,lu0340554673
Start,2019-06-14,2019-06-14
End,2022-06-10,2022-06-10
Risk-free rate,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,47.99%,14.06%
Daily Sharpe,-,-
Daily Sortino,-,-
CAGR,14.01%,4.50%
Max Drawdown,-30.70%,-28.81%
Calmar Ratio,0.46,0.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-4.56%,1.54%
3m,-6.32%,-9.28%
6m,-10.78%,-20.44%
YTD,-11.29%,-20.42%
1Y,7.31%,-21.43%
3Y (ann.),14.01%,4.50%
5Y (ann.),-,-
10Y (ann.),-,-
Since Incep. (ann.),14.01%,4.50%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-,-
Daily Sortino,-,-
Daily Mean (ann.),-,-
Daily Vol (ann.),-,-
Daily Skew,-,-
Daily Kurt,-,-
Best Day,-,-
Worst Day,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.82,0.32
Monthly Sortino,1.43,0.54
Monthly Mean (ann.),14.51%,5.52%
Monthly Vol (ann.),17.64%,17.46%
Monthly Skew,-0.48,-0.24
Monthly Kurt,2.10,0.26
Best Month,14.23%,12.19%
Worst Month,-14.43%,-11.05%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.44,0.11
Yearly Sortino,1.71,0.19
Yearly Mean,11.13%,2.20%
Yearly Vol,25.47%,20.72%
Yearly Skew,0.89,-0.94
Yearly Kurt,-,-
Best Year,38.81%,20.25%
Worst Year,-11.29%,-20.42%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-3.60%,-5.93%
Avg. Drawdown Days,39.55,54.25
Avg. Up Month,4.22%,4.13%
Avg. Down Month,-3.52%,-3.64%
Win Year %,66.67%,66.67%
Win 12m %,92.31%,76.92%
