index,LU0340554673,LU0474966677,LU0386875149
2018-01-04,330.6,143.93,246.4
2018-01-05,335.11,144.46,248.83
2018-01-09,338.47,147.21,251.8
2018-01-10,335.02,148.57,249.46
2018-01-11,334.65,148.47,249.42
2018-01-12,334.73,146.19,248.94
2018-01-16,331.57,147.18,247.89
2018-01-17,332.23,146.78,248.96
2018-01-18,332.16,145.13,249.49
2018-01-19,333.85,146.27,251.46
2018-01-22,336.69,146.57,252.1
2018-01-23,337.92,148.32,251.72
2018-01-24,335.24,147.84,249.7
2018-01-25,333.5,146.21,247.73
2018-01-26,339.77,145.07,250.98
2018-01-29,339.14,146.24,250.54
2018-01-30,335.0,144.59,247.6
2018-01-31,334.98,142.21,247.04
2018-02-01,332.52,143.79,246.2
2018-02-02,327.4,142.32,242.08
2018-02-05,317.2,139.68,234.72
2018-02-06,323.17,135.23,236.57
2018-02-07,324.64,136.65,238.08
2018-02-08,314.97,138.35,231.41
2018-02-09,317.42,136.16,232.54
2018-02-13,321.3,135.87,233.86
2018-02-14,327.04,135.0,236.92
2018-02-15,330.49,136.09,238.28
2018-02-16,331.47,138.01,240.21
2018-02-20,333.93,139.88,241.24
2018-02-21,334.47,139.54,241.06
2018-02-22,334.15,138.74,241.02
2018-02-23,339.31,140.3,243.66
2018-02-26,340.84,141.51,245.67
2018-02-27,336.9,142.5,244.02
2018-02-28,336.95,141.65,242.41
2018-03-01,334.1,140.17,239.43
2018-03-02,332.62,137.9,237.59
2018-03-05,337.39,136.57,239.5
2018-03-06,337.52,137.41,239.83
2018-03-07,340.1,135.86,241.09
2018-03-08,343.1,136.4,243.85
2018-03-09,347.51,136.88,247.27
2018-03-12,349.38,139.08,247.68
2018-03-13,342.7,138.74,244.71
2018-03-14,346.44,138.47,245.21
2018-03-15,347.1,139.47,245.84
2018-03-16,347.04,139.65,246.57
2018-03-19,340.28,138.09,243.34
2018-03-20,341.34,137.23,244.96
2018-03-22,329.9,139.1,239.23
2018-03-23,323.2,134.78,235.1
2018-03-26,328.28,134.31,237.6
2018-03-27,320.51,137.1,235.61
2018-03-28,318.36,136.91,235.64
2018-03-29,324.06,136.8,239.1
2018-04-03,317.95,137.25,237.14
2018-04-04,321.54,137.7,238.3
2018-04-05,325.8,138.15,241.57
2018-04-06,319.94,137.63,237.87
2018-04-09,320.27,138.15,237.78
2018-04-10,324.79,138.33,240.06
2018-04-11,322.57,137.34,238.5
2018-04-12,325.63,137.28,240.88
2018-04-13,323.29,137.36,240.41
2018-04-16,324.17,138.01,240.94
2018-04-17,331.39,137.71,244.5
2018-04-18,331.52,139.01,244.52
2018-04-19,331.25,138.86,243.03
2018-04-20,329.85,139.32,242.94
2018-04-23,330.42,139.44,243.6
2018-04-24,325.07,140.5,241.14
2018-04-25,323.8,140.03,241.08
2018-04-26,329.52,140.42,244.07
2018-04-27,330.77,141.84,244.66
2018-05-02,334.0,141.63,245.74
2018-05-07,341.92,143.3,249.58
2018-05-08,343.75,144.91,250.91
2018-05-09,346.96,143.5,252.34
2018-05-11,348.31,144.93,253.11
2018-05-14,347.12,144.91,252.76
2018-05-15,345.68,145.05,252.82
2018-05-16,350.27,145.75,255.4
2018-05-17,347.77,145.84,255.65
2018-05-18,347.1,146.35,256.52
2018-05-22,346.51,145.48,256.87
2018-05-23,350.5,147.25,257.78
2018-05-24,350.26,145.18,257.79
2018-05-25,352.77,145.45,259.39
2018-05-29,352.46,147.66,258.51
2018-05-30,353.43,144.67,259.57
2018-05-31,352.7,144.52,257.05
2018-06-01,358.35,144.0,259.84
2018-06-04,361.44,145.3,260.74
2018-06-05,364.15,145.57,261.62
2018-06-06,362.64,144.48,261.19
2018-06-07,358.2,145.23,258.98
2018-06-08,360.94,146.02,260.78
2018-06-11,361.47,145.18,260.73
2018-06-12,363.98,145.4,261.91
2018-06-13,362.24,145.93,260.83
2018-06-14,369.14,144.51,264.37
2018-06-15,368.85,147.11,263.79
2018-06-18,367.84,145.67,262.51
2018-06-19,367.78,144.99,261.55
2018-06-20,370.36,145.29,261.83
2018-06-21,366.06,145.45,259.18
2018-06-22,365.72,143.54,258.51
2018-06-25,356.34,143.12,253.64
2018-06-26,357.45,142.85,254.66
2018-06-27,354.23,142.97,253.84
2018-06-28,359.23,143.04,254.49
2018-06-29,357.01,141.9,253.93
2018-07-02,360.97,139.06,254.81
2018-07-03,358.45,138.74,253.96
2018-07-05,359.51,137.4,254.73
2018-07-06,363.65,138.49,255.83
2018-07-09,365.99,139.56,257.42
2018-07-10,365.97,139.66,258.47
2018-07-11,365.07,138.75,256.45
2018-07-12,371.11,138.25,259.61
2018-07-13,370.15,140.4,260.0
2018-07-17,371.36,140.43,260.34
2018-07-18,371.63,141.4,261.16
2018-07-19,370.31,141.5,261.11
2018-07-20,367.39,141.36,258.66
2018-07-23,367.27,141.83,258.37
2018-07-24,367.19,142.42,258.57
2018-07-25,372.68,142.84,260.97
2018-07-26,369.62,143.87,261.82
2018-07-27,363.97,145.29,259.69
2018-07-30,355.62,144.01,256.08
2018-07-31,355.81,141.95,257.82
2018-08-01,355.1,143.25,257.55
2018-08-02,358.49,143.26,260.03
2018-08-03,360.71,142.85,260.93
2018-08-06,364.39,142.86,262.42
