index,LU0474966677
2022-01-04,181.92
2022-01-05,182.79
2022-01-06,178.68
2022-01-07,178.68
2022-01-11,177.91
2022-01-12,180.32
2022-01-13,178.94
2022-01-14,177.4
2022-01-17,178.05
2022-01-18,177.53
2022-01-19,173.15
2022-01-20,175.25
2022-01-21,174.68
2022-01-24,175.27
2022-01-25,172.26
2022-01-26,171.74
2022-01-27,167.24
2022-01-28,170.53
2022-01-31,171.76
2022-02-01,171.55
2022-02-02,174.78
2022-02-03,173.13
2022-02-04,170.87
2022-02-07,171.04
2022-02-08,171.19
2022-02-09,172.3
2022-02-10,172.71
2022-02-14,172.45
2022-02-15,169.53
2022-02-16,171.93
2022-02-17,171.61
2022-02-18,171.0
2022-02-21,170.36
2022-02-22,167.58
2022-02-24,168.28
2022-02-25,169.18
2022-02-28,168.88
2022-03-01,171.53
2022-03-02,168.82
2022-03-03,170.29
2022-03-04,168.72
2022-03-07,166.86
2022-03-08,162.2
2022-03-09,160.75
2022-03-10,166.03
2022-03-11,162.58
2022-03-14,162.28
2022-03-15,162.9
2022-03-16,165.26
2022-03-17,168.39
2022-03-18,168.89
2022-03-22,169.37
2022-03-23,173.4
2022-03-24,173.03
2022-03-25,172.4
2022-03-28,168.73
2022-03-29,170.35
2022-03-30,170.88
2022-03-31,169.34
2022-04-01,169.2
2022-04-04,170.49
2022-04-05,170.17
2022-04-06,167.61
2022-04-07,165.47
2022-04-08,165.66
2022-04-11,162.55
2022-04-12,160.65
2022-04-13,162.96
2022-04-14,164.2
2022-04-19,161.1
2022-04-20,162.31
2022-04-21,162.59
2022-04-22,161.78
2022-04-25,160.66
2022-04-26,161.88
2022-04-27,161.33
2022-04-28,162.57
2022-05-02,163.29
2022-05-06,163.41
2022-05-10,159.43
2022-05-11,158.62
2022-05-12,160.09
2022-05-13,163.84
2022-05-16,162.72
2022-05-17,162.12
2022-05-18,163.31
2022-05-19,163.14
2022-05-20,162.67
2022-05-23,163.61
2022-05-24,162.01
2022-05-25,162.91
2022-05-27,163.09
2022-05-30,165.15
2022-05-31,164.29
2022-06-01,164.43
2022-06-02,163.43
2022-06-03,162.85
2022-06-07,161.76
2022-06-08,161.89
2022-06-09,162.1
2022-06-10,161.28
2022-06-13,158.62
2022-06-14,157.31
