index,LU0474966081,LU0340554673,LU0474966677,LU0303494743,LU0386875149
2022-01-04,393.14,531.61,181.92,189.66,416.75
2022-01-05,384.62,523.83,182.79,189.06,411.87
2022-01-06,385.64,513.12,178.68,188.6,400.76
2022-01-07,382.37,520.09,178.68,187.79,402.57
2022-01-11,385.56,515.84,177.91,187.83,394.94
2022-01-12,383.93,524.99,180.32,187.51,399.68
2022-01-13,377.17,518.37,178.94,187.44,396.62
2022-01-14,378.38,510.54,177.4,186.72,389.55
2022-01-18,374.39,507.54,177.53,186.43,384.94
2022-01-19,370.7,510.42,173.15,186.99,387.44
2022-01-20,366.52,517.09,175.25,187.39,386.41
2022-01-21,359.62,498.42,174.68,188.12,375.06
2022-01-24,361.82,482.27,175.27,188.46,363.39
2022-01-25,358.52,483.65,172.26,188.51,364.78
2022-01-26,357.71,492.28,171.74,187.74,372.52
2022-01-27,360.04,490.18,167.24,188.63,370.97
2022-01-28,368.27,478.31,170.53,188.42,360.02
2022-01-31,373.74,500.54,171.76,187.56,374.02
2022-02-01,375.0,506.04,171.55,187.1,378.15
2022-02-02,376.93,504.28,174.78,187.06,379.42
2022-02-03,363.85,486.82,173.13,184.31,371.69
2022-02-04,364.96,486.31,170.87,182.53,366.88
2022-02-07,363.52,491.9,171.04,182.02,370.14
2022-02-08,367.38,486.88,171.19,181.62,367.24
2022-02-09,372.47,497.25,172.3,181.99,376.85
2022-02-10,364.52,503.1,172.71,180.31,377.26
2022-02-14,361.24,489.04,172.45,181.27,368.3
2022-02-15,365.42,495.17,169.53,180.28,372.06
2022-02-16,365.51,490.79,171.93,180.6,369.22
2022-02-17,357.66,489.3,171.61,181.35,367.81
2022-02-18,355.98,480.41,171.0,182.02,365.53
2022-02-22,352.58,470.02,167.58,181.26,360.15
2022-02-24,358.23,454.59,168.28,183.2,350.02
2022-02-25,361.97,465.35,169.18,181.91,359.02
2022-02-28,361.54,471.87,168.88,183.24,365.03
2022-03-01,358.84,476.53,171.53,186.64,367.02
2022-03-02,367.99,473.21,168.82,185.47,366.16
2022-03-03,366.25,475.77,170.29,185.33,368.62
2022-03-04,368.09,466.39,168.72,188.03,364.2
2022-03-07,358.65,455.57,166.86,187.47,360.08
2022-03-08,356.05,440.04,162.2,185.85,350.06
2022-03-09,359.68,449.11,160.75,182.8,355.24
2022-03-10,359.04,446.37,166.03,182.19,355.91
2022-03-11,356.09,441.05,162.58,182.54,358.15
2022-03-14,353.06,433.88,162.28,180.58,355.73
2022-03-15,360.82,430.08,162.9,180.56,352.4
2022-03-16,368.25,453.94,165.26,180.36,363.85
2022-03-17,368.93,453.16,168.39,179.44,365.03
2022-03-18,375.28,469.2,168.89,180.48,373.18
2022-03-22,380.26,479.88,169.37,178.24,377.32
2022-03-23,376.29,479.32,173.4,178.78,375.37
2022-03-24,381.5,471.24,173.03,178.24,372.0
2022-03-25,384.23,473.26,172.4,177.62,373.98
2022-03-28,387.51,479.74,168.73,177.3,376.85
2022-03-29,387.56,483.82,170.35,176.37,380.09
2022-03-30,383.0,481.3,170.88,176.22,379.05
2022-03-31,378.29,475.95,169.34,177.34,377.73
2022-04-01,382.66,480.13,169.2,177.71,377.34
2022-04-04,387.16,491.89,170.49,178.18,381.25
2022-04-05,384.36,494.04,170.17,177.28,383.37
2022-04-06,381.29,475.26,167.61,176.76,373.17
2022-04-07,383.22,474.53,165.47,176.48,375.62
2022-04-08,383.55,470.78,165.66,175.86,375.31
2022-04-11,376.25,465.47,162.55,174.53,372.4
2022-04-12,375.79,471.04,160.65,175.16,374.15
2022-04-13,380.94,465.69,162.96,175.7,371.32
2022-04-14,378.79,469.14,164.2,175.57,375.12
2022-04-19,384.43,459.31,161.1,173.62,370.11
2022-04-20,381.42,452.71,162.31,173.81,373.5
2022-04-21,376.54,448.42,162.59,173.12,374.98
2022-04-22,368.44,438.27,161.78,173.47,365.45
2022-04-25,372.88,430.27,160.66,175.21,358.63
2022-04-26,364.32,432.04,161.88,176.42,362.05
2022-04-27,369.7,438.58,161.33,177.34,363.25
2022-04-28,378.9,437.13,162.57,175.91,363.92
2022-05-06,362.17,410.69,163.41,171.81,344.22
2022-05-10,352.79,404.63,159.43,173.63,340.31
2022-05-11,346.87,406.83,158.62,174.02,339.43
2022-05-12,350.98,398.29,160.09,177.27,334.66
2022-05-13,360.0,416.55,163.84,176.29,347.09
2022-05-16,358.25,414.7,162.72,176.45,346.6
2022-05-17,360.92,417.77,162.12,173.92,347.88
2022-05-18,347.16,414.32,163.31,174.77,345.88
2022-05-19,342.67,407.25,163.14,174.55,337.4
2022-05-20,343.81,414.77,162.67,175.04,343.79
2022-05-23,346.58,405.9,163.61,173.31,339.99
2022-05-24,341.91,393.68,162.01,173.79,335.03
2022-05-25,346.65,398.42,162.91,174.26,337.33
2022-05-27,361.32,416.7,163.09,174.11,349.05
2022-05-31,358.98,421.04,164.29,172.41,350.13
2022-06-01,357.82,427.59,164.43,171.97,351.66
2022-06-07,361.76,428.18,161.76,169.83,351.37
2022-06-08,357.0,437.47,161.89,168.84,354.28
2022-06-09,351.18,435.12,162.1,168.97,351.29
2022-06-10,344.84,423.13,161.28,168.92,342.24
2022-06-13,334.89,404.6,158.62,167.8,330.94
