index,LU0340554673,LU0474966677,LU0386875149,LU0625737753
2019-06-14,370.96,138.5,269.42,123.14
2019-06-17,373.09,138.2,270.13,123.13
2019-06-18,380.18,138.1,274.36,125.39
2019-06-19,378.92,140.05,273.91,127.71
2019-06-20,382.68,140.01,276.1,129.11
2019-06-21,378.58,139.18,273.42,128.51
2019-06-24,376.26,138.47,272.19,127.97
2019-06-25,374.23,138.59,272.3,126.25
2019-06-26,374.77,137.53,271.03,127.24
2019-06-27,374.99,138.79,271.42,128.87
2019-06-28,375.06,138.69,272.01,128.4
2019-07-02,382.64,142.13,276.87,132.37
2019-07-03,384.95,142.06,278.97,131.88
2019-07-05,385.5,143.08,278.49,132.08
2019-07-08,383.32,141.72,278.8,129.37
2019-07-09,383.8,141.33,277.6,128.94
2019-07-10,386.81,140.75,278.87,128.85
2019-07-11,387.03,141.71,278.06,129.2
2019-07-12,386.25,141.37,277.73,129.21
2019-07-16,389.16,141.62,279.21,131.14
2019-07-17,387.18,141.32,279.07,131.11
2019-07-18,383.72,138.97,277.6,130.08
2019-07-19,385.53,141.63,279.37,131.3
2019-07-22,382.83,140.99,278.49,130.1
2019-07-23,386.34,142.13,280.71,132.03
2019-07-24,388.49,143.47,282.29,132.88
2019-07-25,388.97,143.71,281.33,133.26
2019-07-26,395.05,142.31,283.26,132.92
2019-07-29,393.88,142.26,282.71,132.2
2019-07-30,390.8,142.61,280.98,131.89
2019-07-31,390.44,141.76,281.65,130.56
2019-08-01,394.08,142.74,282.2,129.88
2019-08-02,383.97,141.96,276.31,125.87
2019-08-05,369.27,139.75,268.36,120.43
2019-08-06,369.98,138.12,268.84,120.14
2019-08-07,364.33,138.49,265.39,120.07
2019-08-08,373.92,138.19,271.82,121.75
2019-08-09,375.06,139.2,273.14,120.57
2019-08-13,376.03,138.58,273.29,120.27
2019-08-14,371.19,138.4,270.25,120.63
2019-08-16,373.95,138.24,272.21,123.28
2019-08-19,380.76,138.72,275.39,126.19
2019-08-20,381.77,140.26,275.08,126.24
2019-08-21,383.08,139.17,276.96,126.28
2019-08-22,382.8,139.51,277.01,125.43
2019-08-23,380.92,139.85,275.55,124.63
2019-08-26,375.34,138.11,271.59,123.04
2019-08-27,379.28,139.28,274.04,123.53
2019-08-28,376.13,139.57,271.75,123.67
2019-08-29,383.12,139.19,276.6,124.74
2019-08-30,385.4,141.22,278.68,126.47
2019-09-03,386.59,143.0,278.86,126.36
2019-09-04,387.17,141.55,279.26,128.2
2019-09-05,388.92,143.36,281.04,129.9
2019-09-06,390.47,143.37,282.55,130.23
2019-09-09,390.62,144.4,281.25,130.29
2019-09-10,388.24,144.59,278.18,129.92
2019-09-11,393.13,146.73,281.99,131.84
2019-09-12,395.58,147.47,284.02,132.51
2019-09-13,394.74,147.75,283.8,132.83
2019-09-17,392.96,148.91,283.07,131.33
2019-09-18,391.98,147.8,283.04,131.3
2019-09-19,394.79,148.55,283.79,130.62
2019-09-20,395.31,148.83,284.31,131.05
2019-09-24,392.54,150.38,284.25,128.33
2019-09-25,385.28,150.63,280.09,128.42
2019-09-26,390.0,151.3,283.25,128.72
2019-09-27,389.99,150.53,283.75,126.61
2019-09-30,388.53,149.02,284.18,127.66
2019-10-02,380.7,150.03,277.03,126.61
2019-10-03,379.31,147.85,275.78,127.18
2019-10-04,384.74,148.46,279.58,127.01
2019-10-08,381.74,149.01,276.9,126.26
2019-10-09,381.5,148.12,277.51,125.96
2019-10-10,383.14,147.54,278.08,126.59
2019-10-11,389.04,148.09,281.86,129.16
2019-10-15,391.04,150.27,283.67,130.37
2019-10-16,391.12,150.5,282.4,130.73
2019-10-17,391.59,148.66,283.02,130.24
2019-10-18,388.53,148.49,281.75,128.41
2019-10-21,386.96,148.65,281.84,128.94
2019-10-23,385.26,150.41,282.05,127.77
2019-10-24,384.13,150.32,283.37,129.16
2019-10-25,383.73,150.94,284.64,129.47
2019-10-28,389.59,151.11,287.3,131.11
2019-10-29,385.57,152.23,286.73,130.17
2019-10-30,384.94,152.06,286.59,129.66
2019-10-31,384.93,152.59,285.98,129.74
2019-11-05,394.51,154.8,290.54,135.29
2019-11-06,393.58,155.02,290.12,135.34
2019-11-07,393.49,155.12,292.53,136.98
2019-11-08,394.01,156.06,291.32,136.58
2019-11-11,392.38,156.59,291.3,133.87
2019-11-12,396.13,156.96,292.92,134.94
2019-11-13,394.12,156.55,291.93,133.07
2019-11-14,395.13,155.79,292.2,132.11
2019-11-15,394.16,156.31,292.36,131.74
2019-11-18,394.77,155.76,292.93,132.48
2019-11-19,394.66,155.49,293.27,133.95
2019-11-20,392.79,155.61,293.08,132.88
2019-11-21,392.33,154.93,291.27,131.65
2019-11-22,395.45,155.57,292.28,132.96
2019-11-25,398.7,156.84,295.46,134.91
2019-11-26,399.11,156.96,296.59,135.16
2019-11-27,401.28,157.33,298.24,136.21
2019-11-29,401.09,155.7,297.97,133.57
2019-12-02,395.1,156.86,294.7,132.92
2019-12-03,389.22,156.47,290.6,132.58
2019-12-04,393.3,156.23,293.67,131.44
2019-12-05,393.21,156.33,293.46,133.21
2019-12-06,398.04,156.88,296.85,134.95
2019-12-09,398.05,158.09,296.18,134.3
2019-12-10,395.31,157.66,294.82,134.2
2019-12-11,395.55,156.91,295.0,135.81
2019-12-12,397.91,156.17,296.17,136.49
2019-12-13,399.39,156.68,296.72,138.67
2019-12-16,403.71,157.27,299.12,138.94
2019-12-17,405.05,157.7,298.8,140.8
2019-12-18,407.65,157.42,299.91,141.87
2019-12-19,409.72,157.02,300.19,141.51
2019-12-20,413.32,157.29,303.31,142.19
2019-12-23,414.27,157.42,303.96,142.77
2019-12-27,414.15,156.81,303.48,143.29
2019-12-30,410.6,155.62,301.18,142.88
2019-12-31,409.27,156.16,301.07,142.04
2020-01-06,413.17,155.11,300.74,144.28
2020-01-07,418.0,157.26,302.88,145.89
2020-01-08,420.81,155.48,304.49,145.28
2020-01-09,427.39,157.19,306.82,148.22
2020-01-10,429.07,157.87,307.68,148.58
2020-01-14,429.4,157.42,308.33,149.86
2020-01-15,429.56,156.66,309.21,148.98
2020-01-16,430.24,156.14,310.5,149.4
2020-01-17,433.77,157.19,313.49,151.13
2020-01-21,431.17,157.21,312.56,146.18
2020-01-22,435.86,158.35,315.64,148.04
2020-01-23,431.61,157.65,313.32,145.26
2020-01-24,435.27,158.66,316.35,144.64
2020-01-29,428.86,157.17,311.49,142.33
2020-01-30,422.76,154.95,308.29,138.73
2020-01-31,420.47,155.6,306.19,137.11
2020-02-03,422.81,154.84,306.11,137.64
2020-02-04,428.43,155.07,310.63,141.84
2020-02-05,433.26,156.2,314.05,142.47
2020-02-06,438.43,159.61,315.42,145.57
2020-02-07,437.91,160.03,313.76,144.71
2020-02-10,439.4,158.92,315.05,145.08
2020-02-12,446.56,159.21,320.66,149.22
2020-02-13,447.46,159.65,321.03,149.27
2020-02-14,450.25,159.05,323.01,149.41
2020-02-18,451.71,156.17,323.4,149.46
2020-02-19,455.41,156.34,325.81,151.01
2020-02-20,453.11,154.4,324.67,150.29
2020-02-21,444.76,154.65,320.69,147.55
2020-02-25,433.64,150.97,310.37,144.54
2020-02-26,424.97,149.3,303.99,144.04
2020-02-27,407.74,145.66,291.25,142.31
2020-02-28,391.15,141.02,278.92,139.46
2020-03-02,395.15,142.59,281.28,140.62
2020-03-03,401.85,140.16,288.17,139.86
2020-03-04,403.97,140.31,289.4,141.72
2020-03-05,402.97,142.29,287.72,143.18
2020-03-06,385.24,138.37,275.14,138.22
2020-03-09,365.97,133.34,260.15,130.98
2020-03-10,369.31,132.47,261.29,134.73
2020-03-11,366.9,130.7,258.67,133.47
2020-03-12,345.04,127.7,240.48,129.59
2020-03-13,341.57,119.35,239.02,130.4
2020-03-16,330.38,117.05,229.84,121.87
2020-03-17,331.15,119.69,230.1,124.95
2020-03-18,327.57,119.74,226.57,121.45
2020-03-19,331.17,120.13,227.22,121.71
2020-03-23,324.25,120.71,220.75,121.46
2020-03-24,345.85,123.11,233.27,127.15
2020-03-25,351.63,132.11,240.37,130.78
2020-03-26,354.34,128.87,246.85,129.35
2020-03-27,347.93,135.02,242.63,127.91
2020-03-30,347.83,134.52,244.37,127.32
2020-03-31,356.28,131.92,248.16,130.36
2020-04-01,345.59,128.62,240.93,128.32
2020-04-02,346.18,127.19,239.33,130.61
