index,LU0474966081,LU0303494743
2019-06-14,233.02,183.42
2019-06-17,233.23,183.24
2019-06-18,236.34,184.64
2019-06-19,236.41,184.66
2019-06-20,237.08,184.8
2019-06-21,236.16,183.79
2019-06-24,234.33,183.68
2019-06-25,232.24,184.03
2019-06-26,232.08,183.37
2019-06-27,233.16,183.72
2019-06-28,234.1,183.66
2019-07-01,237.22,184.3
2019-07-02,238.55,185.12
2019-07-03,240.7,186.14
2019-07-05,241.54,185.63
2019-07-08,240.52,185.79
2019-07-09,241.06,185.41
2019-07-10,241.19,184.85
2019-07-11,241.7,184.24
2019-07-12,242.84,184.3
2019-07-15,242.67,184.66
2019-07-16,242.68,184.83
2019-07-17,241.05,185.29
2019-07-18,242.08,186.01
2019-07-19,240.52,186.02
2019-07-22,241.19,186.13
2019-07-23,244.41,186.72
2019-07-24,245.71,187.34
2019-07-25,244.08,186.62
2019-07-26,246.59,186.83
2019-07-29,246.08,186.87
2019-07-30,245.29,186.67
2019-07-31,242.73,187.42
2019-08-01,242.21,189.24
2019-08-02,239.52,189.85
2019-08-05,230.66,189.82
2019-08-06,233.64,190.18
2019-08-07,233.21,190.93
2019-08-08,237.95,190.36
2019-08-09,236.39,190.27
2019-08-12,233.22,190.93
2019-08-13,237.33,190.58
2019-08-14,231.2,192.39
2019-08-16,236.13,193.34
2019-08-19,239.19,192.59
2019-08-20,237.44,193.33
2019-08-21,239.3,193.03
2019-08-22,239.47,192.72
2019-08-23,232.67,193.45
2019-08-27,234.65,194.23
2019-08-28,236.73,195.22
2019-08-29,239.96,194.69
2019-08-30,241.31,195.36
2019-09-03,240.74,196.72
2019-09-04,241.89,195.58
2019-09-05,244.77,193.6
2019-09-06,244.92,194.35
2019-09-09,244.7,192.87
2019-09-10,245.15,192.24
2019-09-11,247.92,192.6
2019-09-12,247.9,191.76
2019-09-13,246.57,189.94
2019-09-16,247.73,191.53
2019-09-17,247.2,191.06
2019-09-18,247.05,191.51
2019-09-19,247.14,191.66
2019-09-20,246.94,192.39
2019-09-23,247.26,193.64
2019-09-24,245.18,194.15
2019-09-25,247.56,193.75
2019-09-26,247.34,194.26
2019-09-27,245.93,193.88
2019-09-30,248.2,194.15
2019-10-01,244.82,194.21
2019-10-02,239.82,194.3
2019-10-03,240.91,195.03
2019-10-04,244.45,195.12
2019-10-07,243.0,194.46
2019-10-08,240.07,195.01
2019-10-09,241.78,194.08
2019-10-10,242.59,192.5
2019-10-11,244.76,191.66
2019-10-15,246.82,191.42
2019-10-16,246.04,191.29
2019-10-17,245.29,190.62
2019-10-18,243.82,190.34
2019-10-21,245.34,189.73
2019-10-22,244.8,190.49
2019-10-23,245.85,190.35
2019-10-24,246.56,191.21
2019-10-25,247.88,190.57
2019-10-28,249.22,189.68
2019-10-29,248.5,189.73
2019-10-30,249.15,189.95
2019-10-31,247.66,191.15
2019-11-04,251.01,189.87
2019-11-05,252.54,189.7
2019-11-06,252.74,190.12
2019-11-07,254.17,189.01
2019-11-08,255.39,189.19
2019-11-12,255.49,189.15
2019-11-13,255.74,189.96
2019-11-14,256.18,190.57
2019-11-15,257.0,190.02
2019-11-18,256.46,189.96
2019-11-19,256.35,190.14
2019-11-20,255.74,190.63
2019-11-21,255.11,190.07
2019-11-22,256.65,190.66
2019-11-25,259.1,191.04
2019-11-26,259.61,191.33
2019-11-27,261.07,191.11
2019-11-29,259.43,190.61
2019-12-02,256.12,189.2
2019-12-03,254.17,190.59
2019-12-04,255.7,190.01
2019-12-05,256.01,189.54
2019-12-06,259.37,189.8
2019-12-09,258.08,190.05
2019-12-10,257.35,189.72
2019-12-11,258.19,190.24
2019-12-12,259.68,188.86
2019-12-13,259.29,189.65
2019-12-16,261.12,189.12
2019-12-17,260.82,188.98
2019-12-18,261.38,188.8
2019-12-19,262.78,188.78
2019-12-20,264.84,189.22
2019-12-23,265.0,189.0
2019-12-27,264.53,188.97
2019-12-30,262.08,188.16
2019-12-31,262.35,188.11
2020-01-02,265.14,188.85
2020-01-03,264.13,190.26
2020-01-06,264.46,189.63
2020-01-07,264.88,189.82
2020-01-08,266.72,189.59
2020-01-09,268.95,189.3
2020-01-10,267.92,189.65
2020-01-13,269.28,188.84
2020-01-14,269.19,189.24
2020-01-15,268.97,189.33
2020-01-16,271.47,189.37
2020-01-17,273.66,189.72
2020-01-21,272.85,190.52
2020-01-22,273.5,191.34
2020-01-23,274.56,192.52
2020-01-24,272.58,193.04
2020-01-27,268.59,194.21
2020-01-28,271.59,193.96
2020-01-29,271.41,194.56
2020-01-30,271.39,194.62
2020-01-31,265.53,194.54
2020-02-03,267.96,194.46
2020-02-04,272.45,193.81
2020-02-05,276.42,193.68
2020-02-06,277.99,193.81
2020-02-07,276.86,194.68
2020-02-10,279.93,195.42
2020-02-11,280.64,195.17
2020-02-12,282.97,195.23
2020-02-13,283.78,196.14
2020-02-14,284.42,196.51
2020-02-18,284.18,196.85
2020-02-19,286.36,196.86
2020-02-20,284.99,196.84
2020-02-21,280.74,196.96
2020-02-24,271.24,197.93
2020-02-25,262.84,198.25
2020-02-26,261.82,197.87
2020-02-27,247.55,196.88
2020-02-28,245.58,198.12
2020-03-02,253.5,196.63
2020-03-03,245.35,197.38
2020-03-04,256.56,197.91
2020-03-05,246.82,198.09
2020-03-06,240.02,199.28
2020-03-09,219.7,199.66
2020-03-10,232.08,197.66
2020-03-11,222.05,197.34
2020-03-12,204.49,196.38
2020-03-13,223.79,193.99
2020-03-16,195.76,192.91
2020-03-17,210.63,191.81
2020-03-18,202.26,188.13
2020-03-19,205.76,189.52
2020-03-20,197.11,192.11
2020-03-23,190.08,192.09
2020-03-24,207.25,191.72
2020-03-25,208.96,191.43
2020-03-26,218.15,191.3
2020-03-27,210.14,193.4
2020-03-30,217.75,194.12
2020-03-31,215.4,194.64
2020-04-01,206.79,195.57
2020-04-02,212.7,195.83
2020-04-03,210.76,196.4
2020-04-06,225.9,195.86
2020-04-07,223.51,194.14
2020-04-08,231.56,194.6
2020-04-09,233.32,194.99
2020-04-14,237.38,195.45
2020-04-15,233.51,197.02
2020-04-16,236.06,197.87
2020-04-17,241.51,197.3
2020-04-20,237.34,196.97
2020-04-21,230.49,197.07
2020-04-22,236.51,196.97
2020-04-23,236.4,197.62
2020-04-24,240.04,198.2
2020-04-27,242.95,198.21
2020-04-28,241.89,198.58
2020-04-29,247.86,198.64
2020-04-30,243.34,197.96
2020-05-04,238.31,197.84
2020-05-05,242.13,198.77
2020-05-06,241.41,198.5
2020-05-07,244.69,199.27
2020-05-11,247.78,197.71
2020-05-12,241.6,197.55
2020-05-13,238.16,198.3
2020-05-14,241.51,198.62
2020-05-15,242.37,198.32
2020-05-18,249.15,197.41
2020-05-19,244.51,196.66
2020-05-20,247.61,196.91
2020-05-22,248.61,198.41
2020-05-26,249.52,197.02
2020-05-27,253.49,197.24
2020-05-28,251.09,196.38
2020-05-29,250.77,196.29
2020-06-02,252.45,194.83
2020-06-03,255.09,193.57
2020-06-04,251.5,191.89
2020-06-05,258.8,191.7
2020-06-08,262.2,193.22
2020-06-09,258.93,192.92
2020-06-10,257.59,193.6
2020-06-11,241.81,194.28
2020-06-12,247.95,195.36
2020-06-15,249.39,194.96
2020-06-16,254.96,195.3
2020-06-17,254.37,195.58
2020-06-18,254.59,195.9
2020-06-19,253.99,196.24
2020-06-22,254.17,195.79
2020-06-24,248.07,195.51
2020-06-25,252.18,196.33
2020-06-26,246.32,196.58
2020-06-29,248.98,195.75
2020-06-30,253.15,195.77
2020-07-01,253.76,195.07
2020-07-02,255.69,196.05
2020-07-06,257.69,195.15
2020-07-07,255.64,195.9
2020-07-08,256.67,195.56
2020-07-09,256.04,196.44
2020-07-10,258.15,196.24
2020-07-13,254.61,195.05
2020-07-14,257.38,195.13
2020-07-15,259.27,195.08
2020-07-16,258.08,195.23
2020-07-17,259.03,195.09
2020-07-20,260.79,195.43
2020-07-21,260.14,195.39
2020-07-22,259.27,194.57
2020-07-23,256.04,194.88
2020-07-24,253.82,194.74
2020-07-27,252.36,193.7
2020-07-28,251.77,194.55
2020-07-29,253.91,193.94
2020-07-30,252.56,194.37
2020-07-31,253.85,193.83
2020-08-03,257.57,194.02
2020-08-04,258.12,194.92
2020-08-05,257.0,193.52
2020-08-06,259.53,194.64
2020-08-07,260.92,194.5
2020-08-10,262.13,194.8
2020-08-11,260.07,193.67
2020-08-12,262.87,192.85
2020-08-13,261.63,191.91
2020-08-14,261.78,192.16
2020-08-17,261.64,192.29
2020-08-18,261.1,192.23
2020-08-19,260.41,192.24
2020-08-20,262.53,192.95
2020-08-21,264.83,193.68
2020-08-24,266.75,193.38
2020-08-25,267.48,192.21
2020-08-26,270.34,192.29
2020-08-27,271.44,191.86
2020-08-28,270.81,191.38
2020-09-01,270.77,191.08
2020-09-02,277.8,192.99
2020-09-03,268.16,193.23
2020-09-04,266.88,192.65
2020-09-08,259.59,193.02
2020-09-09,264.45,192.44
2020-09-10,258.46,191.77
2020-09-11,259.47,192.57
2020-09-14,261.93,192.54
2020-09-15,263.77,192.75
2020-09-16,263.05,193.39
2020-09-17,261.32,193.82
2020-09-18,257.25,193.21
2020-09-21,256.81,194.4
2020-09-22,260.34,194.58
2020-09-23,254.87,194.7
2020-09-24,256.36,194.85
2020-09-25,260.94,194.96
2020-09-28,264.55,194.73
2020-09-29,261.38,194.19
2020-09-30,263.64,193.91
2020-10-01,264.85,193.9
2020-10-02,262.78,194.21
2020-10-05,265.75,192.83
2020-10-06,262.05,193.0
2020-10-07,267.3,192.94
2020-10-08,269.79,193.47
2020-10-09,270.64,193.21
2020-10-13,274.97,194.55
2020-10-14,272.81,194.78
2020-10-15,273.81,195.58
2020-10-16,273.36,195.17
2020-10-19,267.46,194.61
2020-10-20,267.65,193.41
2020-10-21,266.07,193.21
2020-10-22,268.54,193.03
2020-10-23,269.28,193.05
2020-10-26,264.68,193.52
2020-10-27,263.53,194.31
2020-10-28,255.98,194.74
2020-10-29,261.15,195.27
2020-10-30,258.2,195.21
2020-11-02,261.65,195.37
2020-11-03,264.17,194.51
2020-11-04,270.49,195.79
2020-11-05,273.03,195.19
2020-11-06,271.87,194.37
2020-11-09,276.26,192.81
2020-11-10,275.98,192.94
2020-11-12,275.58,193.66
2020-11-13,279.12,193.96
2020-11-16,281.98,193.95
2020-11-17,279.74,194.03
2020-11-18,276.52,194.25
2020-11-19,278.48,194.75
2020-11-20,276.26,195.06
2020-11-23,278.67,195.01
2020-11-24,281.89,194.38
2020-11-25,280.79,194.22
2020-11-27,280.35,194.26
2020-11-30,278.77,194.0
2020-12-01,280.24,192.27
2020-12-02,279.69,191.7
2020-12-03,277.66,191.76
2020-12-04,280.55,191.5
2020-12-07,280.19,192.16
2020-12-08,281.44,192.7
2020-12-09,279.95,192.87
2020-12-10,278.5,192.64
2020-12-11,278.66,193.33
2020-12-14,277.08,193.06
2020-12-15,280.01,192.73
2020-12-16,279.72,192.32
2020-12-17,280.0,192.05
2020-12-18,279.27,191.6
2020-12-21,278.69,192.07
2020-12-22,279.14,192.69
2020-12-23,278.93,192.04
2020-12-29,280.46,192.01
2020-12-30,279.51,191.66
2020-12-31,282.82,192.59
2021-01-04,277.83,192.37
2021-01-05,279.71,192.19
2021-01-06,281.19,191.14
2021-01-07,285.91,190.96
2021-01-08,287.58,191.07
2021-01-11,288.16,191.45
2021-01-12,288.09,190.98
2021-01-13,288.7,191.89
2021-01-14,288.22,192.09
2021-01-15,287.17,192.42
2021-01-19,288.67,192.15
2021-01-20,293.23,192.53
2021-01-21,292.24,191.67
2021-01-22,290.75,191.35
2021-01-25,292.89,192.44
2021-01-26,291.58,192.07
2021-01-27,285.85,192.73
2021-01-28,287.94,191.99
2021-01-29,281.78,190.84
2021-02-01,287.9,191.77
2021-02-02,293.21,191.87
2021-02-03,293.89,191.9
2021-02-04,297.93,191.94
2021-02-05,297.94,191.33
2021-02-08,299.6,191.21
2021-02-09,298.05,191.06
2021-02-10,297.13,190.76
2021-02-11,297.63,190.85
2021-02-12,299.35,190.24
2021-02-16,299.19,188.83
2021-02-17,301.28,189.58
2021-02-18,298.96,188.93
2021-02-19,297.07,187.89
2021-02-22,294.52,187.77
2021-02-23,294.35,187.21
2021-02-24,298.61,186.69
2021-02-25,288.92,184.68
2021-02-26,289.59,185.59
2021-03-01,298.62,187.31
